市场名称,代码,名称,类别,买卖,备兑属性,持仓,可用,开仓均价,最新价,市值,估算浮动盈亏,保证金,持仓类别,Delta,Gamma,Rho,Theta,Vega,时间价值,
上海股票期权,	10001920,50ETF沽3月2804A,认沽,卖,非备兑,5,0,0.0106,0.0233,-1183.99,-645.35,0.,义务仓,0.4071,-5.2172,0.2171,0.2557,-0.9381,-0.1165,
上海股票期权,	10001927,50ETF购3月3345A,认购,卖,非备兑,5,0,0.0324,0.0135,-686.00,960.40,0.,义务仓,-0.0630,-1.1286,-0.0323,0.0752,-0.2029,-0.0675,
上海股票期权,	10002054,50ETF购1月3100,认购,卖,非备兑,10,10,0.0156,0.0003,-30.00,1530.00,30836.1,义务仓,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.003,
上海股票期权,	10002077,50ETF沽3月2850,认沽,卖,非备兑,48,0,0.0149,0.0329,-15792.00,-8640.00,0.,义务仓,6.9351,-75.5875,3.7086,3.5630,-13.5915,-1.5792,
上海股票期权,	10002097,50ETF沽6月2950,认沽,买,非备兑,19,19,0.0745,0.0986,18734.00,4579.00,0.,权利仓,-6.6008,31.2344,-8.7772,-0.9474,13.6020,1.8734,
上海股票期权,	10002113,50ETF购3月3400,认购,卖,非备兑,65,17,0.0173,0.0099,-6435.00,4810.00,42929.93,义务仓,-0.3266,-6.5382,-0.1677,0.4308,-1.1756,-0.6435,
上海股票期权,	10002194,50ETF购2月3100,认购,卖,非备兑,6,6,0.0336,0.0258,-1548.00,468.00,20599.26,义务仓,-0.9488,-13.3776,-0.2731,0.9171,-1.3531,-0.1548,
上海股票期权,	10002200,50ETF沽2月2900,认沽,买,非备兑,15,15,0.0275,0.0252,3780.00,-345.00,0.,权利仓,-3.0517,39.1778,-0.9137,-1.9215,3.9626,0.378,
